speech_id,president,speech_title,src_file
carter_speeches_018,carter,Speech on Afghanistan,./Total_Corpus of Presidential Speeches/carter_speeches_018.txt
carter_speeches_019,carter,Statement on the Iran Rescue Mission,./Total_Corpus of Presidential Speeches/carter_speeches_019.txt
carter_speeches_020,carter,Acceptance Speech at the Democratic National Convention,./Total_Corpus of Presidential Speeches/carter_speeches_020.txt
carter_speeches_021,carter,Debate with Ronald Reagan,./Total_Corpus of Presidential Speeches/carter_speeches_021.txt
cleveland_speeches_000,cleveland,First Inaugural Address,./Total_Corpus of Presidential Speeches/cleveland_speeches_000.txt
cleveland_speeches_001,cleveland,Message Regarding Chinese Immigrant Workers,./Total_Corpus of Presidential Speeches/cleveland_speeches_001.txt
cleveland_speeches_002,cleveland,First Annual Message,./Total_Corpus of Presidential Speeches/cleveland_speeches_002.txt
cleveland_speeches_003,cleveland,Veto of Military Pension Legislation,./Total_Corpus of Presidential Speeches/cleveland_speeches_003.txt
cleveland_speeches_004,cleveland,Message on the Statue of Liberty,./Total_Corpus of Presidential Speeches/cleveland_speeches_004.txt
cleveland_speeches_005,cleveland,Message on Federal Employee Political Involvement,./Total_Corpus of Presidential Speeches/cleveland_speeches_005.txt
cleveland_speeches_006,cleveland,Message Regarding U. S. Labor Force,./Total_Corpus of Presidential Speeches/cleveland_speeches_006.txt
cleveland_speeches_007,cleveland,Veto of Texas Seed Bill,./Total_Corpus of Presidential Speeches/cleveland_speeches_007.txt
cleveland_speeches_008,cleveland,Veto of Military Pension Legislation,./Total_Corpus of Presidential Speeches/cleveland_speeches_008.txt
cleveland_speeches_009,cleveland,Third Annual Message,./Total_Corpus of Presidential Speeches/cleveland_speeches_009.txt
cleveland_speeches_010,cleveland,Second Annual Message,./Total_Corpus of Presidential Speeches/cleveland_speeches_010.txt
cleveland_speeches_011,cleveland,Message Regarding Chinese Exclusion Act,./Total_Corpus of Presidential Speeches/cleveland_speeches_011.txt
cleveland_speeches_012,cleveland,Fourth Annual Message,./Total_Corpus of Presidential Speeches/cleveland_speeches_012.txt
